algorithm,num_processes,avg_total_time,avg_comm_time,avg_compute_time,avg_teps
bfs1d,1,1.601074e+00,1.485384e-01,1.452536e+00,4.333664e+07
bfs1d,2,1.311638e+00,9.519640e-01,3.596740e-01,5.296208e+07
bfs1d,4,8.615580e-01,7.277000e-01,1.338592e-01,8.051620e+07
bfs1d,8,5.564100e-01,4.887500e-01,6.766180e-02,1.246674e+08
bfs1d,16,3.502180e-01,3.232200e-01,2.699720e-02,1.982574e+08
bfs1d,32,2.751460e-01,2.503360e-01,2.481000e-02,2.522834e+08
bfs1d,64,2.196520e-01,2.103460e-01,9.305080e-03,3.162528e+08
bfs1d,128,2.688440e-01,2.628060e-01,6.037660e-03,2.581042e+08
bfs1d,256,3.854980e-01,3.815780e-01,3.919580e-03,1.804498e+08
bfs2d,1,1.168742e+00,3.781560e-02,1.130928e+00,5.935022e+07
bfs2d,4,8.686600e-01,5.441280e-01,3.245300e-01,7.986870e+07
bfs2d,16,1.047298e+00,3.271940e-01,7.201040e-01,6.623172e+07
bfs2d,64,1.924266e+00,2.012900e-01,1.722978e+00,3.604742e+07
bfs2d,256,3.760800e+00,1.464618e-01,3.614340e+00,1.844380e+07
