algorithm,num_processes,avg_total_time,avg_comm_time,avg_compute_time,avg_teps
bfs1d,1,1.590140e+00,1.507140e-01,1.439430e+00,4.362085e+07
bfs1d,2,1.273195e+00,9.135750e-01,3.596195e-01,5.448005e+07
bfs1d,4,8.796350e-01,7.454950e-01,1.341425e-01,7.887490e+07
bfs1d,8,5.862150e-01,5.056400e-01,8.057200e-02,1.183815e+08
bfs1d,16,3.559390e-01,3.248585e-01,3.108065e-02,1.948840e+08
bfs1d,32,2.784725e-01,2.487280e-01,2.974455e-02,2.493240e+08
bfs1d,64,2.059230e-01,1.976690e-01,8.254050e-03,3.369220e+08
bfs1d,128,2.643920e-01,2.591970e-01,5.194400e-03,2.623550e+08
bfs1d,256,4.073985e-01,3.997515e-01,7.646650e-03,1.731580e+08
bfs2d,1,1.537390e+00,1.914900e-01,1.345905e+00,4.511780e+07
bfs2d,4,1.093750e+00,7.605000e-01,3.332475e-01,6.341830e+07
bfs2d,16,1.122315e+00,4.140445e-01,7.082700e-01,6.180470e+07
bfs2d,64,1.958100e+00,2.344675e-01,1.723635e+00,3.542600e+07
bfs2d,256,3.770685e+00,1.617910e-01,3.608900e+00,1.839515e+07
