algorithm,num_processes,avg_total_time,avg_comm_time,avg_compute_time,avg_teps
bfs1d,1,1.884910e-01,8.923250e-03,1.795680e-01,1.464530e+07
bfs1d,2,1.242985e-01,3.960910e-02,8.468950e-02,2.221485e+07
bfs1d,4,1.006220e-01,6.451250e-02,3.610965e-02,2.749155e+07
bfs1d,8,7.680100e-02,5.876550e-02,1.803540e-02,3.598650e+07
bfs1d,16,6.054450e-02,5.204450e-02,8.500250e-03,4.571655e+07
bfs1d,32,6.552100e-02,6.087350e-02,4.647700e-03,4.261590e+07
bfs1d,64,7.157950e-02,6.913800e-02,2.441100e-03,3.892815e+07
bfs1d,128,8.287450e-02,8.137050e-02,1.504220e-03,3.336660e+07
bfs1d,256,1.160460e-01,1.152335e-01,8.122350e-04,2.378890e+07
bfs2d,1,1.319955e+00,1.126325e-02,1.308685e+00,2.097570e+06
bfs2d,4,9.869400e-01,1.656900e-01,8.212500e-01,2.801510e+06
bfs2d,16,5.519850e-01,1.189665e-01,4.330205e-01,5.012000e+06
bfs2d,64,6.365550e-01,1.453950e-01,4.911580e-01,4.337085e+06
bfs2d,256,1.151430e+00,2.685595e-01,8.828700e-01,2.398325e+06
